Textbox1
"Omejitev izpisa:
Skupina dogodkov: Požari v naravi oziroma na prostem, Požari v komunalnih in drugih zabojnikih, Požari na prometnih sredstvih, Požari v objektih"

Povzrocitev,Leto,PKID,Textbox6
Požari v objektih,2015,2.119,Stanovanjske stavbe,1.277,Malomarnost kot posledica prometnih aktivnostii,3,10.000 € - 50.000 €,0,4.256
Požari v objektih,2016,2.221,Stanovanjske stavbe,1.401,Malomarnost kot posledica prometnih aktivnostii,1,10.000 € - 50.000 €,0,4.402
Požari v objektih,2017,2.007,Stanovanjske stavbe,1.243,Malomarnost kot posledica prometnih aktivnostii,1,10.000 € - 50.000 €,0,4.913
Požari v objektih,2005,1.431,Stanovanjske stavbe,771,Malomarnost kot posledica prometnih aktivnostii,6,Ni podatka,5,3.097
Požari v objektih,2006,1.785,Stanovanjske stavbe,961,Malomarnost kot posledica prometnih aktivnostii,1,Ni podatka,1,3.644
Požari v objektih,2007,1.900,Stanovanjske stavbe,1.002,Malomarnost kot posledica prometnih aktivnostii,11,Ni podatka,11,3.413
Požari v objektih,2008,1.752,Stanovanjske stavbe,1.003,Malomarnost kot posledica prometnih aktivnostii,4,Ni podatka,2,3.218
Požari v objektih,2009,1.822,Stanovanjske stavbe,1.101,Malomarnost kot posledica prometnih aktivnostii,3,Ni podatka,2,3.065
Požari v objektih,2010,1.361,Stanovanjske stavbe,850,Malomarnost kot posledica prometnih aktivnostii,2,Ni podatka,1,2.274
Požari v objektih,2011,2.070,Stanovanjske stavbe,1.206,Malomarnost kot posledica prometnih aktivnostii,6,Ni podatka,6,4.840
Požari v objektih,2012,2.199,Stanovanjske stavbe,1.302,Malomarnost kot posledica prometnih aktivnostii,1,Ni podatka,0,5.564
Požari v objektih,2013,2.073,Stanovanjske stavbe,1.207,Malomarnost kot posledica prometnih aktivnostii,2,Ni podatka,1,4.175
Požari v objektih,2014,1.989,Stanovanjske stavbe,1.123,Malomarnost kot posledica prometnih aktivnostii,4,Ni podatka,2,3.593
Požari v objektih,2015,2.119,Stanovanjske stavbe,1.277,Malomarnost kot posledica prometnih aktivnostii,3,Ni podatka,0,4.256
Požari v objektih,2016,2.221,Stanovanjske stavbe,1.401,Malomarnost kot posledica prometnih aktivnostii,1,Ni podatka,0,4.402
Požari v objektih,2017,2.007,Stanovanjske stavbe,1.243,Malomarnost kot posledica prometnih aktivnostii,1,Ni podatka,0,4.913
Požari v objektih,2005,1.431,Stanovanjske stavbe,771,Malomarnost kot posledica kmetijskih opravil,14,Ni gmotne škode,0,3.097
Požari v objektih,2006,1.785,Stanovanjske stavbe,961,Malomarnost kot posledica kmetijskih opravil,11,Ni gmotne škode,0,3.644
Požari v objektih,2007,1.900,Stanovanjske stavbe,1.002,Malomarnost kot posledica kmetijskih opravil,0,Ni gmotne škode,0,3.413
Požari v objektih,2008,1.752,Stanovanjske stavbe,1.003,Malomarnost kot posledica kmetijskih opravil,1,Ni gmotne škode,0,3.218
Požari v objektih,2009,1.822,Stanovanjske stavbe,1.101,Malomarnost kot posledica kmetijskih opravil,0,Ni gmotne škode,0,3.065
Požari v objektih,2010,1.361,Stanovanjske stavbe,850,Malomarnost kot posledica kmetijskih opravil,2,Ni gmotne škode,0,2.274
Požari v objektih,2011,2.070,Stanovanjske stavbe,1.206,Malomarnost kot posledica kmetijskih opravil,1,Ni gmotne škode,0,4.840
Požari v objektih,2012,2.199,Stanovanjske stavbe,1.302,Malomarnost kot posledica kmetijskih opravil,3,Ni gmotne škode,0,5.564
Požari v objektih,2013,2.073,Stanovanjske stavbe,1.207,Malomarnost kot posledica kmetijskih opravil,0,Ni gmotne škode,0,4.175
Požari v objektih,2014,1.989,Stanovanjske stavbe,1.123,Malomarnost kot posledica kmetijskih opravil,1,Ni gmotne škode,0,3.593
Požari v objektih,2015,2.119,Stanovanjske stavbe,1.277,Malomarnost kot posledica kmetijskih opravil,0,Ni gmotne škode,0,4.256
Požari v objektih,2016,2.221,Stanovanjske stavbe,1.401,Malomarnost kot posledica kmetijskih opravil,3,Ni gmotne škode,1,4.402
Požari v objektih,2017,2.007,Stanovanjske stavbe,1.243,Malomarnost kot posledica kmetijskih opravil,3,Ni gmotne škode,0,4.913
Požari v objektih,2005,1.431,Stanovanjske stavbe,771,Malomarnost kot posledica kmetijskih opravil,14,do 10.000 €,3,3.097
Požari v objektih,2006,1.785,Stanovanjske stavbe,961,Malomarnost kot posledica kmetijskih opravil,11,do 10.000 €,2,3.644
Požari v objektih,2007,1.900,Stanovanjske stavbe,1.002,Malomarnost kot posledica kmetijskih opravil,0,do 10.000 €,0,3.413
Požari v objektih,2008,1.752,Stanovanjske stavbe,1.003,Malomarnost kot posledica kmetijskih opravil,1,do 10.000 €,0,3.218
Požari v objektih,2009,1.822,Stanovanjske stavbe,1.101,Malomarnost kot posledica kmetijskih opravil,0,do 10.000 €,0,3.065
Požari v objektih,2010,1.361,Stanovanjske stavbe,850,Malomarnost kot posledica kmetijskih opravil,2,do 10.000 €,1,2.274
Požari v objektih,2011,2.070,Stanovanjske stavbe,1.206,Malomarnost kot posledica kmetijskih opravil,1,do 10.000 €,0,4.840
Požari v objektih,2012,2.199,Stanovanjske stavbe,1.302,Malomarnost kot posledica kmetijskih opravil,3,do 10.000 €,0,5.564
Požari v objektih,2013,2.073,Stanovanjske stavbe,1.207,Malomarnost kot posledica kmetijskih opravil,0,do 10.000 €,0,4.175
Požari v objektih,2014,1.989,Stanovanjske stavbe,1.123,Malomarnost kot posledica kmetijskih opravil,1,do 10.000 €,0,3.593
Požari v objektih,2015,2.119,Stanovanjske stavbe,1.277,Malomarnost kot posledica kmetijskih opravil,0,do 10.000 €,0,4.256
Požari v objektih,2016,2.221,Stanovanjske stavbe,1.401,Malomarnost kot posledica kmetijskih opravil,3,do 10.000 €,1,4.402
Požari v objektih,2017,2.007,Stanovanjske stavbe,1.243,Malomarnost kot posledica kmetijskih opravil,3,do 10.000 €,2,4.913
Požari v objektih,2005,1.431,Stanovanjske stavbe,771,Malomarnost kot posledica kmetijskih opravil,14,Ni podatka,11,3.097
Požari v objektih,2006,1.785,Stanovanjske stavbe,961,Malomarnost kot posledica kmetijskih opravil,11,Ni podatka,9,3.644
Požari v objektih,2007,1.900,Stanovanjske stavbe,1.002,Malomarnost kot posledica kmetijskih opravil,0,Ni podatka,0,3.413
Požari v objektih,2008,1.752,Stanovanjske stavbe,1.003,Malomarnost kot posledica kmetijskih opravil,1,Ni podatka,1,3.218
Požari v objektih,2009,1.822,Stanovanjske stavbe,1.101,Malomarnost kot posledica kmetijskih opravil,0,Ni podatka,0,3.065
Požari v objektih,2010,1.361,Stanovanjske stavbe,850,Malomarnost kot posledica kmetijskih opravil,2,Ni podatka,1,2.274
Požari v objektih,2011,2.070,Stanovanjske stavbe,1.206,Malomarnost kot posledica kmetijskih opravil,1,Ni podatka,1,4.840
Požari v objektih,2012,2.199,Stanovanjske stavbe,1.302,Malomarnost kot posledica kmetijskih opravil,3,Ni podatka,3,5.564
Požari v objektih,2013,2.073,Stanovanjske stavbe,1.207,Malomarnost kot posledica kmetijskih opravil,0,Ni podatka,0,4.175
Požari v objektih,2014,1.989,Stanovanjske stavbe,1.123,Malomarnost kot posledica kmetijskih opravil,1,Ni podatka,1,3.593
Požari v objektih,2015,2.119,Stanovanjske stavbe,1.277,Malomarnost kot posledica kmetijskih opravil,0,Ni podatka,0,4.256
Požari v objektih,2016,2.221,Stanovanjske stavbe,1.401,Malomarnost kot posledica kmetijskih opravil,3,Ni podatka,1,4.402
Požari v objektih,2017,2.007,Stanovanjske stavbe,1.243,Malomarnost kot posledica kmetijskih opravil,3,Ni podatka,1,4.913
Požari v objektih,2005,1.431,Stanovanjske stavbe,771,Malomarnost kot posledica gozdarskih opravil,0,Ni podatka,0,3.097
Požari v objektih,2006,1.785,Stanovanjske stavbe,961,Malomarnost kot posledica gozdarskih opravil,0,Ni podatka,0,3.644
Požari v objektih,2007,1.900,Stanovanjske stavbe,1.002,Malomarnost kot posledica gozdarskih opravil,0,Ni podatka,0,3.413
Požari v objektih,2008,1.752,Stanovanjske stavbe,1.003,Malomarnost kot posledica gozdarskih opravil,0,Ni podatka,0,3.218
Požari v objektih,2009,1.822,Stanovanjske stavbe,1.101,Malomarnost kot posledica gozdarskih opravil,0,Ni podatka,0,3.065
Požari v objektih,2010,1.361,Stanovanjske stavbe,850,Malomarnost kot posledica gozdarskih opravil,0,Ni podatka,0,2.274
Požari v objektih,2011,2.070,Stanovanjske stavbe,1.206,Malomarnost kot posledica gozdarskih opravil,0,Ni podatka,0,4.840
Požari v objektih,2012,2.199,Stanovanjske stavbe,1.302,Malomarnost kot posledica gozdarskih opravil,1,Ni podatka,1,5.564
Požari v objektih,2013,2.073,Stanovanjske stavbe,1.207,Malomarnost kot posledica gozdarskih opravil,0,Ni podatka,0,4.175
Požari v objektih,2014,1.989,Stanovanjske stavbe,1.123,Malomarnost kot posledica gozdarskih opravil,0,Ni podatka,0,3.593
Požari v objektih,2015,2.119,Stanovanjske stavbe,1.277,Malomarnost kot posledica gozdarskih opravil,0,Ni podatka,0,4.256
Požari v objektih,2016,2.221,Stanovanjske stavbe,1.401,Malomarnost kot posledica gozdarskih opravil,0,Ni podatka,0,4.402
Požari v objektih,2017,2.007,Stanovanjske stavbe,1.243,Malomarnost kot posledica gozdarskih opravil,0,Ni podatka,0,4.913
Požari v objektih,2005,1.431,Stanovanjske stavbe,771,Malomarnost kot posledica industrijskih aktivnosti,1,Ni gmotne škode,0,3.097
Požari v objektih,2006,1.785,Stanovanjske stavbe,961,Malomarnost kot posledica industrijskih aktivnosti,0,Ni gmotne škode,0,3.644
Požari v objektih,2007,1.900,Stanovanjske stavbe,1.002,Malomarnost kot posledica industrijskih aktivnosti,2,Ni gmotne škode,0,3.413
Požari v objektih,2008,1.752,Stanovanjske stavbe,1.003,Malomarnost kot posledica industrijskih aktivnosti,0,Ni gmotne škode,0,3.218
Požari v objektih,2009,1.822,Stanovanjske stavbe,1.101,Malomarnost kot posledica industrijskih aktivnosti,0,Ni gmotne škode,0,3.065
Požari v objektih,2010,1.361,Stanovanjske stavbe,850,Malomarnost kot posledica industrijskih aktivnosti,0,Ni gmotne škode,0,2.274
Požari v objektih,2011,2.070,Stanovanjske stavbe,1.206,Malomarnost kot posledica industrijskih aktivnosti,2,Ni gmotne škode,1,4.840
Požari v objektih,2012,2.199,Stanovanjske stavbe,1.302,Malomarnost kot posledica industrijskih aktivnosti,1,Ni gmotne škode,0,5.564
Požari v objektih,2013,2.073,Stanovanjske stavbe,1.207,Malomarnost kot posledica industrijskih aktivnosti,1,Ni gmotne škode,1,4.175
Požari v objektih,2014,1.989,Stanovanjske stavbe,1.123,Malomarnost kot posledica industrijskih aktivnosti,1,Ni gmotne škode,0,3.593
Požari v objektih,2015,2.119,Stanovanjske stavbe,1.277,Malomarnost kot posledica industrijskih aktivnosti,0,Ni gmotne škode,0,4.256
Požari v objektih,2016,2.221,Stanovanjske stavbe,1.401,Malomarnost kot posledica industrijskih aktivnosti,1,Ni gmotne škode,1,4.402
Požari v objektih,2017,2.007,Stanovanjske stavbe,1.243,Malomarnost kot posledica industrijskih aktivnosti,0,Ni gmotne škode,0,4.913
Požari v objektih,2005,1.431,Stanovanjske stavbe,771,Malomarnost kot posledica industrijskih aktivnosti,1,do 10.000 €,1,3.097
Požari v objektih,2006,1.785,Stanovanjske stavbe,961,Malomarnost kot posledica industrijskih aktivnosti,0,do 10.000 €,0,3.644
Požari v objektih,2007,1.900,Stanovanjske stavbe,1.002,Malomarnost kot posledica industrijskih aktivnosti,2,do 10.000 €,0,3.413
Požari v objektih,2008,1.752,Stanovanjske stavbe,1.003,Malomarnost kot posledica industrijskih aktivnosti,0,do 10.000 €,0,3.218
Požari v objektih,2009,1.822,Stanovanjske stavbe,1.101,Malomarnost kot posledica industrijskih aktivnosti,0,do 10.000 €,0,3.065
